episode,score,score_avg100,time_steps,time_ep,time_total
242,0.0,0.01810000030323863,15,0.050354957580566406,15.196071863174438
243,0.0,0.01810000030323863,15,0.05536651611328125,15.252363443374634
244,0.20000000298023224,0.020100000333040952,70,0.2559394836425781,15.509222030639648
245,0.10000000149011612,0.020100000333040952,31,0.10305476188659668,15.613175868988037
246,0.0,0.020100000333040952,14,0.04797863960266113,15.661969423294067
247,0.10000000149011612,0.021100000347942113,33,0.11117053031921387,15.773894309997559
248,0.09000000171363354,0.02200000036507845,30,0.09924674034118652,15.873989820480347
249,0.0,0.02200000036507845,14,0.04858732223510742,15.92345643043518
250,0.0,0.02200000036507845,14,0.046704769134521484,15.97085976600647
251,0.0,0.02200000036507845,15,0.050804853439331055,16.022374391555786
252,0.0,0.02200000036507845,14,0.053026437759399414,16.0763418674469
253,0.0,0.02200000036507845,22,0.0768280029296875,16.15378189086914
254,0.0,0.02200000036507845,14,0.048148155212402344,16.202953100204468
255,0.0,0.02200000036507845,14,0.0482792854309082,16.25210452079773
256,0.0,0.02200000036507845,16,0.05369377136230469,16.306752920150757
257,0.0,0.02200000036507845,14,0.05044293403625488,16.358363389968872
258,0.0,0.02200000036507845,14,0.04793429374694824,16.40720224380493
259,0.0,0.02200000036507845,14,0.05098462104797363,16.459043264389038
260,0.10000000149011612,0.02300000037997961,31,0.11386823654174805,16.57380223274231
261,0.10000000149011612,0.02400000039488077,29,0.11084651947021484,16.685526371002197
262,0.0,0.02400000039488077,15,0.053968191146850586,16.74031949043274
263,0.0,0.023100000377744435,13,0.04610085487365723,16.787193775177002
264,0.0,0.023100000377744435,15,0.0559079647064209,16.843929767608643
265,0.0,0.022100000362843274,14,0.04969620704650879,16.894277572631836
266,0.10000000149011612,0.023100000377744435,30,0.10441708564758301,16.999608755111694
267,0.0,0.022100000362843274,14,0.04969501495361328,17.050052881240845
268,0.0,0.022100000362843274,14,0.047980546951293945,17.0989248752594
269,0.0,0.022100000362843274,15,0.05171608924865723,17.15159845352173
270,0.0,0.022100000362843274,14,0.05185294151306152,17.204347610473633
271,0.0,0.022100000362843274,14,0.04829144477844238,17.25345015525818
272,0.09000000171363354,0.02300000037997961,31,0.0953514575958252,17.34952974319458
273,0.0,0.02300000037997961,14,0.04650235176086426,17.396843194961548
274,0.0,0.02200000036507845,14,0.044280052185058594,17.441715717315674
275,0.0,0.02200000036507845,14,0.04290175437927246,17.48529839515686
276,0.0,0.02200000036507845,14,0.04087185859680176,17.526708841323853
277,0.09000000171363354,0.02200000036507845,30,0.08280277252197266,17.61006474494934
278,0.10000000149011612,0.02300000037997961,32,0.1036529541015625,17.714437246322632
279,0.0,0.02200000036507845,14,0.04760456085205078,17.7627911567688
280,0.0,0.02200000036507845,15,0.04827594757080078,17.811798810958862
281,0.0,0.02200000036507845,14,0.055443763732910156,17.867780923843384
282,0.0,0.02200000036507845,14,0.04869556427001953,17.917282104492188
283,0.10000000149011612,0.022100000362843274,32,0.10660099983215332,18.024561166763306
284,0.0,0.022100000362843274,14,0.04330754280090332,18.068636655807495
285,0.0,0.022100000362843274,20,0.0598444938659668,18.129066228866577
286,0.10000000149011612,0.023100000377744435,37,0.11788797378540039,18.24752688407898
287,0.10000000149011612,0.024100000392645596,57,0.16968941688537598,18.41791558265686
288,0.0,0.024100000392645596,13,0.041605234146118164,18.460328817367554
289,0.0,0.024100000392645596,15,0.04427170753479004,18.505417585372925
290,0.10000000149011612,0.025100000407546758,30,0.08714127540588379,18.593119144439697
291,0.0,0.025100000407546758,14,0.040866851806640625,18.6345796585083
292,0.0,0.025100000407546758,14,0.03911995887756348,18.674325466156006
293,0.0,0.025100000407546758,14,0.03951001167297363,18.714490175247192
294,0.0,0.025100000407546758,14,0.03928995132446289,18.754321813583374
295,0.0,0.025100000407546758,15,0.03983283042907715,18.794769287109375
296,0.10000000149011612,0.02610000042244792,28,0.07417654991149902,18.86948037147522
297,0.0,0.02610000042244792,14,0.04092979431152344,18.910941123962402
298,0.0,0.02610000042244792,14,0.04181385040283203,18.953321933746338
299,0.0,0.02610000042244792,16,0.04860997200012207,19.002517700195312
300,0.0,0.025200000405311583,14,1.4855241775512695,20.488613605499268
